Lon,Lat,LMZ,Stat_Area,EEZ,LMZ_MA,Depth,Distant_Offshore
-74.2,38.15,NA,621,EEZ Nearshore Management Area 5,0,-61,0.891665525
-74.15,38.15,NA,621,EEZ Nearshore Management Area 5,0,-67,0.939605826
-74.1,38.15,NA,621,EEZ Nearshore Management Area 5,0,-69,0.987750378
-74.05,38.15,NA,621,EEZ Nearshore Management Area 5,0,-73,1.036070706
-74,38.15,NA,622,EEZ Nearshore Management Area 5,0,-75,1.084543318
-73.95,38.15,NA,622,EEZ Offshore Management Area 3,0,-104,1.133148671
-73.9,38.15,NA,622,EEZ Offshore Management Area 3,0,-116,1.181870386
-73.85,38.15,NA,622,EEZ Offshore Management Area 3,0,-185,1.230694645
-73.8,38.15,NA,622,EEZ Offshore Management Area 3,0,-118,1.27960971
-73.75,38.15,NA,622,EEZ Offshore Management Area 3,0,-225,1.32860555
-73.7,38.15,NA,622,EEZ Offshore Management Area 3,0,-490,1.377673549
-73.65,38.15,NA,622,EEZ Offshore Management Area 3,0,-966,1.418855127
-73.6,38.15,NA,622,EEZ Offshore Management Area 3,0,-1309,1.458285072
-73.55,38.15,NA,622,EEZ Offshore Management Area 3,0,-1513,1.48666696
-73.5,38.15,NA,622,EEZ Offshore Management Area 3,0,-1432,1.516166862
-73.45,38.15,NA,622,EEZ Offshore Management Area 3,0,-1720,1.546720806
-73.4,38.15,NA,622,EEZ Offshore Management Area 3,0,-1826,1.578267579
-73.35,38.15,NA,622,EEZ Offshore Management Area 3,0,-1906,1.610748848
-73.3,38.15,NA,622,EEZ Offshore Management Area 3,0,-2046,1.644109228
-74.95,38.2,NA,621,EEZ Nearshore Management Area 5,0,-18,0.182806181
-74.9,38.2,NA,621,EEZ Nearshore Management Area 5,0,-23,0.224655987
-74.85,38.2,NA,621,EEZ Nearshore Management Area 5,0,-19,0.267806484
-74.8,38.2,NA,621,EEZ Nearshore Management Area 5,0,-20,0.313002097
-74.75,38.2,NA,621,EEZ Nearshore Management Area 5,0,-29,0.359311693
-74.7,38.2,NA,621,EEZ Nearshore Management Area 5,0,-32,0.405720112
-74.65,38.2,NA,621,EEZ Nearshore Management Area 5,0,-39,0.452128531
-74.6,38.2,NA,621,EEZ Nearshore Management Area 5,0,-40,0.498536949
-74.55,38.2,NA,621,EEZ Nearshore Management Area 5,0,-37,0.544945368
-74.5,38.2,NA,621,EEZ Nearshore Management Area 5,0,-40,0.591453471
-74.45,38.2,NA,621,EEZ Nearshore Management Area 5,0,-40,0.638442565
-74.4,38.2,NA,621,EEZ Nearshore Management Area 5,0,-38,0.685857572
-74.35,38.2,NA,621,EEZ Nearshore Management Area 5,0,-44,0.733615914
-74.3,38.2,NA,621,EEZ Nearshore Management Area 5,0,-50,0.781654661
-74.25,38.2,NA,621,EEZ Nearshore Management Area 5,0,-41,0.829925123
-74.2,38.2,NA,621,EEZ Nearshore Management Area 5,0,-63,0.878389099
-74.15,38.2,NA,621,EEZ Nearshore Management Area 5,0,-68,0.92701624
-74.1,38.2,NA,621,EEZ Nearshore Management Area 5,0,-60,0.975782152
-74.05,38.2,NA,621,EEZ Nearshore Management Area 5,0,-69,1.024667023
-74,38.2,NA,622,EEZ Nearshore Management Area 5,0,-73,1.073654604
-73.95,38.2,NA,622,EEZ Nearshore Management Area 5,0,-77,1.12273145
-73.9,38.2,NA,622,EEZ Offshore Management Area 3,0,-101,1.171886347
-73.85,38.2,NA,622,EEZ Offshore Management Area 3,0,-166,1.221109868
-73.8,38.2,NA,622,EEZ Offshore Management Area 3,0,-116,1.269816274
-73.75,38.2,NA,622,EEZ Offshore Management Area 3,0,-119,1.308998767
-73.7,38.2,NA,622,EEZ Offshore Management Area 3,0,-159,1.348896649
